city,date,temp,humidity,rainfall,wind_speed,uv_index,sunrise,sunset,moonrise,moonset,moon_phase,illumination
Can Tho,2024-05-24,29.9,-0.4657165544444382,-0.37424817585656206,-0.39228576043062424,1.0744067553821028,5.583333333333333,18.216666666666665,19.0,5.816666666666666,1,1.456733998754257
Hau Giang,2024-05-24,20.7,0.34402128599447485,-0.18792361249874975,-0.012384093463045387,-0.38637202660933245,5.266666666666667,18.633333333333333,19.55,5.416666666666667,1,1.456733998754257
Soc Trang,2024-05-24,30.4,-0.7896116906200035,-0.4599749702653208,0.5802625070063774,0.3440173643863852,5.583333333333333,18.183333333333334,18.966666666666665,5.816666666666666,1,1.456733998754257
Bac Lieu,2024-05-24,30.4,-0.7896116906200035,-0.4599749702653208,0.5802625070063774,0.3440173643863852,5.6,18.2,18.966666666666665,5.85,1,1.456733998754257
Ca Mau,2024-05-24,29.5,-0.22279520231276428,-0.020843839722495507,-1.0001284275787505,0.3440173643863852,5.65,18.233333333333334,19.0,5.9,1,1.456733998754257
Hanoi,2024-05-25,28.8,-0.14182141826887298,-0.14418545208611774,0.8537917072230343,0.3440173643863852,5.266666666666667,18.516666666666666,20.416666666666668,6.266666666666667,1,1.3994582886107116
Ho Chi Minh City,2024-05-25,31.0,-0.8705854746638947,-0.16867882191719166,0.30673330678972105,1.0744067553821028,5.5,18.183333333333334,19.933333333333334,6.616666666666667,1,1.3994582886107116
Da Nang,2024-05-25,27.7,0.2630475019505835,-0.4092387041866677,-0.6202267606111715,0.3440173643863852,5.35,18.416666666666668,20.266666666666666,6.4,1,1.3994582886107116
Hai Phong,2024-05-25,28.0,0.4249950700383662,-0.10657063413125425,0.8082035071869248,0.3440173643863852,5.216666666666667,18.466666666666665,20.35,6.216666666666667,1,1.3994582886107116
Can Tho,2024-05-25,30.1,-0.4657165544444382,-0.2054188766638025,-0.7873834940769062,1.0744067553821028,5.583333333333333,18.216666666666665,19.966666666666665,6.716666666666667,1,1.3994582886107116
Dien BienQuang Ninh,2024-05-25,28.3,0.020126149818909627,-0.289396144656056,-0.17954082692878004,0.3440173643863852,5.283333333333333,18.066666666666666,19.833333333333332,6.383333333333334,1,1.3994582886107116
Binh Duong,2024-05-25,27.4,0.6679164221700401,-0.22378890403710797,-0.012384093463045387,0.3440173643863852,5.25,18.2,20.016666666666666,6.3,1,1.3994582886107116
Ha Giang,2024-05-25,21.3,0.6679164221700401,-0.11269397658902268,0.09398837328787658,-0.38637202660933245,5.266666666666667,18.633333333333333,20.55,6.25,1,1.3994582886107116
Cao Bang,2024-05-25,24.7,0.5869426381261488,-0.342756700359467,-0.4530700271454369,-0.38637202660933245,5.183333333333334,18.55,20.466666666666665,6.166666666666667,1,1.3994582886107116
Lai Chau,2024-05-25,21.5,1.2347329104772793,1.8135346079832906,-1.653559294762986,-0.38637202660933245,5.416666666666667,18.733333333333334,20.65,6.4,1,1.3994582886107116
Lao Cai,2024-05-25,24.5,0.910837774301714,0.6632209891310689,-1.3800300945463293,-0.38637202660933245,5.35,18.7,20.616666666666667,6.333333333333333,1,1.3994582886107116
Tuyen Quang,2024-05-25,28.6,0.020126149818909627,0.5564998777242469,-0.012384093463045387,0.3440173643863852,5.283333333333333,18.583333333333332,20.5,6.283333333333333,1,1.3994582886107116
Lang Son,2024-05-25,26.2,0.34402128599447485,-0.4328573108094889,-0.17954082692878004,0.3440173643863852,5.183333333333334,18.483333333333334,20.383333333333333,6.166666666666667,1,1.3994582886107116
Bac Kan,2024-05-25,25.4,0.7488902062139314,-0.2841475654065401,-1.0609126942935632,-0.38637202660933245,5.233333333333333,18.55,20.466666666666665,6.216666666666667,1,1.3994582886107116
Thai Nguyen,2024-05-25,28.0,0.18207371790669225,-0.20629363987205518,-0.17954082692878004,0.3440173643863852,5.25,18.533333333333335,20.433333333333334,6.25,1,1.3994582886107116
Yen Bai,2024-05-25,28.6,0.020126149818909627,0.5564998777242469,-0.012384093463045387,0.3440173643863852,5.316666666666666,18.616666666666667,20.516666666666666,6.3,1,1.3994582886107116
Son La,2024-05-25,23.2,1.3157066945211706,1.6648248625803417,-1.6079710947268766,-0.38637202660933245,5.383333333333334,18.666666666666668,20.566666666666666,6.383333333333334,1,1.3994582886107116
Phu Tho,2024-05-25,31.0,-0.8705854746638947,-0.16867882191719166,0.30673330678972105,1.0744067553821028,5.5,18.183333333333334,19.95,6.616666666666667,1,1.3994582886107116
Bac Giang,2024-05-25,28.5,0.10109993386280093,-0.3436314635677196,1.1881051741545037,0.3440173643863852,5.233333333333333,18.5,20.4,6.233333333333333,1,1.3994582886107116
Quang Ninh,2024-05-25,28.3,0.020126149818909627,-0.289396144656056,-0.17954082692878004,0.3440173643863852,5.3,18.066666666666666,19.833333333333332,6.383333333333334,1,1.3994582886107116
Bac Ninh,2024-05-25,28.5,0.10109993386280093,-0.3436314635677196,1.1881051741545037,0.3440173643863852,5.25,18.516666666666666,20.4,6.25,1,1.3994582886107116
Ha Nam,2024-05-25,27.3,0.2630475019505835,-0.37599770227306734,-0.28591329367970225,0.3440173643863852,5.316666666666666,18.466666666666665,20.35,6.35,1,1.3994582886107116
Hung Yen,2024-05-25,28.0,0.4249950700383662,-0.10657063413125425,0.8082035071869248,0.3440173643863852,5.2,18.45,20.35,6.2,1,1.3994582886107116
Thai Binh,2024-05-25,28.3,0.18207371790669225,-0.12494066150455965,0.7474192404721124,0.3440173643863852,5.25,18.466666666666665,20.35,6.25,1,1.3994582886107116
Nam Dinh,2024-05-25,28.4,0.10109993386280093,-0.2684018276579926,0.6410467737211903,0.3440173643863852,5.266666666666667,18.483333333333334,20.366666666666667,6.266666666666667,1,1.3994582886107116
Ninh Binh,2024-05-25,28.4,0.10109993386280093,-0.2684018276579926,0.6410467737211903,0.3440173643863852,5.283333333333333,18.483333333333334,20.366666666666667,6.283333333333333,1,1.3994582886107116
Thanh Hoa,2024-05-25,27.3,0.2630475019505835,-0.37599770227306734,-0.28591329367970225,0.3440173643863852,5.316666666666666,18.483333333333334,20.366666666666667,6.316666666666666,1,1.3994582886107116
Nghe An,2024-05-25,24.5,0.910837774301714,0.6632209891310689,-1.3800300945463293,-0.38637202660933245,5.316666666666666,18.666666666666668,20.566666666666666,6.316666666666666,1,1.3994582886107116
Ha Tinh,2024-05-25,27.7,0.2630475019505835,-0.4092387041866677,-0.6202267606111715,0.3440173643863852,5.35,18.433333333333334,20.3,6.383333333333334,1,1.3994582886107116
Quang Binh,2024-05-25,30.9,-0.7896116906200035,-0.311265224862372,0.42830184021934586,1.0744067553821028,5.533333333333333,18.183333333333334,19.95,6.65,1,1.3994582886107116
Quang Tri,2024-05-25,28.0,0.4249950700383662,-0.10657063413125425,0.8082035071869248,0.3440173643863852,5.216666666666667,18.483333333333334,20.366666666666667,6.216666666666667,1,1.3994582886107116
Thua Thien Hue,2024-05-25,27.7,0.5059688540822574,-0.04796149917832731,-0.6202267606111715,0.3440173643863852,5.283333333333333,18.266666666666666,20.1,6.333333333333333,1,1.3994582886107116
Quang Nam,2024-05-25,27.4,0.6679164221700401,-0.22378890403710797,-0.012384093463045387,0.3440173643863852,5.25,18.216666666666665,20.033333333333335,6.316666666666666,1,1.3994582886107116
Quang Ngai,2024-05-25,27.5,0.4249950700383662,-0.2176655615793395,0.30673330678972105,0.3440173643863852,5.233333333333333,18.15,19.966666666666665,6.3,1,1.3994582886107116
Binh Dinh,2024-05-25,30.0,-0.3847427704005469,0.26782801900087566,-1.167285161044485,0.3440173643863852,5.633333333333333,18.233333333333334,19.983333333333334,6.783333333333333,1,1.3994582886107116
Phu Yen,2024-05-25,25.5,0.2630475019505835,0.11736874718142161,-1.440814361261142,0.3440173643863852,5.3,18.15,19.95,6.383333333333334,1,1.3994582886107116
Khanh Hoa,2024-05-25,31.0,-0.8705854746638947,-0.16867882191719166,0.30673330678972105,1.0744067553821028,5.516666666666667,18.2,19.966666666666665,6.633333333333333,1,1.3994582886107116
Ninh Thuan,2024-05-25,25.5,0.2630475019505835,0.11736874718142161,-1.440814361261142,0.3440173643863852,5.266666666666667,18.116666666666667,19.916666666666668,6.333333333333333,1,1.3994582886107116
Binh Thuan,2024-05-25,30.9,-0.7896116906200035,-0.311265224862372,0.42830184021934586,1.0744067553821028,5.516666666666667,18.183333333333334,19.933333333333334,6.633333333333333,1,1.3994582886107116
Kon Tum,2024-05-25,25.5,0.2630475019505835,0.11736874718142161,-1.440814361261142,0.3440173643863852,5.316666666666666,18.183333333333334,19.983333333333334,6.383333333333334,1,1.3994582886107116
